ID,X,Y,Z,Node,Slice,Z_Darcy
125,262287.2306,2745317.266,78.31554785,3407,1,-0.027563429
126,262138.7155,2745313.474,75.15428205,3408,1,-0.037650722
127,262020.2559,2745302.272,72.67172431,3409,1,-0.00946475
128,261974.6996,2745056.199,78.42620627,3410,1,-0.001297813
129,264584.1151,2743764.639,111.1387156,3438,1,0.001588769
130,264669.5187,2743867.889,102.814135,3439,1,0.001434565
131,262435.3627,2745314.959,75.57369992,3457,1,-0.008628797
132,262358.3094,2745210.556,78.30369775,3458,1,-0.030973026
133,262217.8845,2745207.871,76.14358652,3459,1,-0.041596873
134,262073.0753,2745176.208,74.38080089,3460,1,-0.007274161
135,264539.4008,2743860.476,111.1394439,3488,1,0.053729132
136,264752.1082,2743981.828,99.2937069,3489,1,1.68827E-05
137,263610.3622,2744829.277,89.66707407,3497,1,0.001877812
138,262495.0095,2745203.671,79.69254289,3505,1,-0.004675247
139,262422.3223,2745123.578,77.75957045,3506,1,-0.010517842
140,262306.2509,2745103.841,77.62119871,3507,1,-0.028690747
141,262186.8212,2745081.988,79.26987248,3508,1,-0.024865368
142,264572.0227,2743974.405,111.1817359,3537,1,0.002659812
143,263734.7974,2744765.772,89.64595538,3545,1,-0.001105355
144,262673.0348,2745067.523,79.93009517,3551,1,-0.007256257
145,262534.2229,2745092.53,78.82482253,3552,1,-0.00346135
146,262416.9577,2745007.448,79.19533559,3553,1,-0.004166838
147,264673.837,2744093.065,104.7144889,3580,1,2.35947E-05
148,263861.2882,2744706.364,89.51870965,3586,1,-0.022255993
149,263607.0448,2744706.128,86.07227163,3587,1,0.002769082
150,263508.39,2744778.959,86.92806651,3588,1,0.002015563
151,262716.7039,2744947.17,79.07116191,3594,1,0.001202955
152,262574.4798,2744975.859,77.64285705,3595,1,-0.020985791
153,262273.0901,2744979.889,81.85033739,3596,1,4.9356E-08
154,264748.6737,2744206.613,106.8998076,3618,1,-2.43808E-09
155,264007.1859,2744646.982,92.10282118,3626,1,-0.011269316
156,263742.0573,2744641.515,88.56651419,3627,1,-0.011026061
157,263443.733,2744683.399,83.81673771,3628,1,-0.004777047
158,262759.5445,2744829.169,80.55067459,3633,1,-0.010044232
159,262623.713,2744857.185,76.83420564,3634,1,0.02222487
160,262485.5104,2744879.626,78.6427369,3635,1,0.015027004
161,262361.8905,2744899.02,82.95158952,3636,1,-0.000708321
162,262620.2617,2744452.485,102.9377178,3640,1,2.05871E-08
163,262776.7297,2744275.608,113.3616538,3642,1,2.21513E-08
164,264369.1395,2744134.969,99.73784503,3659,1,-0.000447549
165,264517.853,2744106.36,100.975707,3660,1,-0.087307952
166,264608.1779,2744207.761,95.56145779,3661,1,4.79598E-09
167,264302.6913,2744521.559,93.68356031,3665,1,-0.017050644
168,264156.0434,2744585.455,89.83378969,3666,1,0.017138856
169,264031.5902,2744519.619,89.21005703,3667,1,-0.008089241
170,263889.0495,2744579.559,87.74400729,3668,1,-0.026180774
171,263609.5855,2744587.371,86.39285984,3669,1,-0.010927394
172,263290.2383,2744619.436,84.6610527,3670,1,-0.00902522
173,262804.1239,2744692.101,76.71222147,3674,1,-0.009418137
174,262688.1851,2744720.654,76.6700381,3675,1,-0.033136373
175,262571.374,2744760.89,78.84662995,3676,1,-0.023619369
176,262430.7929,2744788.285,82.14725062,3677,1,-0.036638181
177,262523.5914,2744668.227,85.99084342,3678,1,-0.013029923
178,262608.1284,2744566.101,91.60725703,3679,1,-0.002768804
179,262729.2465,2744571.853,81.95987256,3680,1,0.003638861
180,262743.1582,2744412.111,95.47473159,3681,1,0.005888066
181,262860.2453,2744368.785,88.49096363,3682,1,-2.64736E-08
182,262901.5291,2744244.864,113.009779,3683,1,3.65101E-08
183,264309.0235,2744259.71,90.62335341,3700,1,-0.039419445
184,264465.2383,2744228.392,91.79078926,3701,1,-0.01087594
185,264567.27,2744316.098,97.46777691,3702,1,9.30095E-10
186,264695.8216,2744315.717,120.6556156,3703,1,-1.16277E-08
187,264430.5261,2744455.876,97.0934471,3705,1,-0.035873117
188,264171.7661,2744458.093,86.92146598,3706,1,0.009644066
189,263912.9034,2744452.627,89.54577809,3707,1,-0.019899964
190,263767.7509,2744515.362,89.86877102,3708,1,-0.013674102
191,263464.9204,2744536.268,86.48989539,3709,1,-0.005087463
192,263150.5351,2744560.18,81.36647119,3710,1,-0.011949619
193,262891.4934,2744576.038,79.65584596,3711,1,-0.048496141
194,262624.1051,2744657.545,81.52480989,3712,1,0.055616817
195,262833.1287,2744477.14,78.88960968,3713,1,-0.002898989
196,262960.3315,2744333.228,93.72039646,3714,1,-1.24301E-08
197,263012.8144,2744209.72,113.6319566,3715,1,3.73718E-08
198,264438.7158,2744340.158,93.77669526,3732,1,-0.005596991
199,264526.9574,2744406.31,97.82030788,3733,1,-0.035309459
200,264305.4045,2744394.521,92.35244985,3734,1,0.000667711
201,264046.7071,2744393.178,88.89674625,3735,1,-8.87801E-05
202,263319.5375,2744481.646,81.39058942,3738,1,-0.043324036
203,263037.46,2744505.043,81.2462322,3739,1,-0.095562299
204,262943.3927,2744439.025,78.28448969,3740,1,4.73077E-08
205,264175.7497,2744329.494,89.71656287,3756,1,-0.001618784
206,263925.6671,2744327.34,92.02021637,3757,1,-4.73375E-08
207,263500.0885,2744400.42,94.66603137,3759,1,0.014641472
208,263192.6306,2744426.208,87.0244109,3760,1,-0.00146892
209,263100.7904,2744308.737,99.48234155,3761,1,5.19688E-08
210,263361.3715,2744345.487,87.59261939,3772,1,3.02767E-09
211,263268.1308,2744286.453,92.72133364,3782,1,-3.36292E-10
212,259783.5292,2745207.461,73.87290273,3804,1,-0.017533682
213,261517.0158,2745440.872,73.54256525,3805,1,-0.006166473
214,261500.0359,2745501.035,74.36663612,3807,1,0.02464448
215,261429.2425,2745507.998,74.05828238,3808,1,0.010261251
216,261387.3804,2745446.553,75.32576368,3810,1,0.033839494
217,261364.6783,2745510.121,76.72992718,3811,1,0.009100485
218,261292.2666,2745520.789,78.51190613,3812,1,0.007527049
219,261258.6861,2745445.254,78.0765894,3814,1,0.022650145
220,261128.5701,2745430.72,76.07924617,3818,1,-0.003139278
221,260806.3058,2745515.038,71.51723888,3822,1,0.001672847
222,259917.6087,2745404.1,64.05866488,3827,1,-0.009320143
223,259954.787,2745349.201,65.05728695,3828,1,-0.001134172
224,259984.9349,2745432.077,63.3079859,3829,1,-0.000437386
225,260171.8331,2745673.989,65.07456257,3835,1,-0.043996224
226,260233.4971,2745707.728,70.82640753,3836,1,0.00031433
227,260274.8482,2745646.519,67.16838127,3838,1,-0.049706188
228,260246.4358,2745546.455,62.51068348,3839,1,-0.037725779
