ID,X,Y,Z,Node,SINIT
101,263469.1775,2739825.54,428.5715479,199,0.003465608
102,263530.6781,2739825.361,428.4801083,200,0.003466275
103,264580.6781,2739705.361,427.8097904,203,0.003483039
104,264670.6781,2739615.361,427.7407171,204,0.003485555
105,264640.6781,2739645.361,427.5827305,205,0.003485397
106,264322.586,2739820.435,427.015022,208,0.00347942
107,262123.1516,2739946.145,426.9485591,209,0.003463221
108,264670.6781,2739645.361,426.3479223,213,0.003489399
109,264820.6781,2739345.361,426.223897,214,0.00349259
110,264610.6781,2739675.361,426.1153007,215,0.003488799
111,263110.6781,2739855.361,426.0531509,216,0.00347033
112,262980.3392,2739865.351,425.4082099,219,0.003471519
113,262873.4958,2739924.592,424.8448818,224,0.003472572
114,264880.6781,2739345.361,424.7190187,225,0.003497276
115,264700.6781,2739615.361,424.5902718,226,0.003495312
116,264700.6781,2739585.361,424.5651892,227,0.00349568
117,262004.0881,2739984.564,424.483646,228,0.003470195
118,263500.6781,2739825.361,424.06021,230,0.003478823
119,264640.6781,2739675.361,423.8684487,231,0.00349618
120,264910.6781,2739345.361,423.4732075,237,0.003501192
121,261970.6781,2739975.361,423.0125257,239,0.003474444
122,264160.1008,2739875.545,422.6146794,241,0.003489767
123,263800.6781,2739885.361,422.4691221,243,0.00348691
124,263080.6781,2739855.361,422.3006517,244,0.003481164
125,264730.6781,2739585.361,422.2152372,245,0.003503134
126,263230.6781,2739885.361,421.9462393,247,0.003483506
127,263421.0237,2739862.048,421.4743637,249,0.00348603
128,264556.4937,2740041.009,421.2703091,252,0.003499301
129,264820.6781,2739375.361,421.018601,254,0.003508489
130,264790.6781,2739375.361,420.9602047,255,0.003508622
131,262660.6781,2739945.361,420.8765095,257,0.003482524
132,262180.6781,2739915.361,420.7423192,258,0.003481223
133,263020.8936,2739849.96,420.724331,259,0.003485418
134,263200.6781,2739885.361,420.6612185,260,0.003487056
135,262720.6781,2739975.361,420.0227762,263,0.003485688
136,263971.9896,2739888.067,419.950985,266,0.003495677
137,263850.8607,2739915.727,419.751632,268,0.003495315
138,264910.6781,2739285.361,419.6516917,272,0.003513216
139,262690.6781,2739975.361,419.6095347,273,0.003486653
140,263050.6781,2739855.361,419.4471089,274,0.003489408
141,263770.6781,2739885.361,419.4056298,275,0.003495793
142,263077.9934,2739882.76,418.9901645,277,0.003491016
143,262390.6781,2739975.361,418.8407639,279,0.003487356
144,264212.1153,2739867.682,418.8158697,280,0.003502032
145,263529.5553,2739851.229,418.4981915,284,0.003495689
146,263110.6781,2739885.361,418.4259573,286,0.003492932
147,263140.6781,2739885.361,418.3760739,288,0.003493386
148,262630.6781,2739945.361,418.2858468,289,0.003490138
149,262182.6931,2739951.837,418.258015,290,0.003488596
150,263560.6781,2739855.361,418.2296098,291,0.00349672
151,262772.7558,2739988.356,418.1921948,292,0.003491436
152,264730.6781,2739525.361,418.1691126,293,0.003516319
153,263620.6781,2739855.361,418.0609819,294,0.003497657
154,264730.6781,2739555.361,417.9689246,296,0.003516777
155,263590.6781,2739855.361,417.791248,299,0.003498345
156,262364.2105,2740007.052,417.4760153,301,0.003491356
157,263740.6781,2739885.361,417.4744665,302,0.003501489
158,262948.6095,2739922.03,417.4498973,303,0.003494871
159,265210.6781,2739225.361,417.1114016,311,0.003522878
160,264910.6781,2739315.361,417.0289151,313,0.00352149
161,262360.6781,2739975.361,416.9049121,315,0.003493084
162,262237.9526,2739939.374,416.8403231,316,0.003492918
163,264760.6781,2739465.361,416.3850311,321,0.003522669
164,262600.6781,2739945.361,416.270831,322,0.003496075
165,264276.396,2739857.313,416.0761467,324,0.003511524
166,265030.6781,2739195.361,415.9581316,326,0.003525354
167,265120.6781,2739225.361,415.8038785,329,0.003526163
168,264938.5152,2739319.794,415.799597,330,0.00352545
169,264959.1936,2739377.883,415.7368321,331,0.003525553
170,264790.6781,2739405.361,415.583577,332,0.003525598
171,263710.6781,2739915.361,415.5624838,333,0.003506687
172,264760.6781,2739435.361,415.3448618,335,0.003526109
173,265000.6781,2739195.361,415.0015279,338,0.00352843
174,265300.6781,2739045.361,414.7535747,342,0.003531379
175,262660.6781,2739975.361,414.4529777,346,0.00350197
176,262420.6781,2739975.361,414.0149057,348,0.003502061
177,263650.6781,2739915.361,413.8794866,350,0.003511161
178,263650.6781,2739885.361,413.6950483,352,0.003511552
179,265090.6781,2739225.361,413.5218041,353,0.003533494
180,264887.4058,2739401.692,413.0667885,355,0.003534027
